                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6388,                 1.3586,                 1.6779,                 0.9582,                0.74478,                0.04464,                0.25287,                0.13132,                      1,                0.06021,                0.47862,                0.29393,                 1.9971,                 3.0505,                 5.0516,                 2.1108,             0.00065248,             0.00065248,             0.00065248
                      2,                0.62548,                0.91549,                 1.0932,                0.92876,                0.29452,                0.15179,                0.13125,                0.05567,                0.54069,                0.30482,                0.33682,                0.17389,                  2.626,                 2.4335,                 3.6916,                 2.4485,              0.0013061,              0.0013061,              0.0013061
                      3,                0.65718,                0.93148,                0.95399,                0.94874,                 0.5856,                0.54464,                 0.4425,                0.08046,                0.92698,                0.80357,                0.87497,                0.53757,                 3.1003,                 2.1613,                 2.5299,                 4.4836,              0.0019465,              0.0019465,              0.0019465
                      4,                0.69845,                0.88482,                0.88416,                0.94301,                0.92102,                0.93709,                0.95146,                0.80674,                0.92102,                0.93709,                 0.9514,                0.77032,                0.59479,                0.69499,                 1.1418,                0.93237,              0.0019406,              0.0019406,              0.0019406
                      5,                0.60882,                0.70488,                 0.7097,                0.92076,                0.87794,                0.89912,                0.91496,                0.54948,                0.87794,                0.89912,                 0.9243,                0.53154,                 1.2277,                 1.3014,                  1.321,                 1.2998,              0.0019208,              0.0019208,              0.0019208
                      6,                0.56269,                0.67278,                0.62151,                0.90677,                0.32923,                0.50893,                0.30793,                0.15388,                 0.3119,                0.48214,                0.29907,                0.12433,                 2.1082,                 2.8528,                  2.368,                 1.7629,               0.001901,               0.001901,               0.001901
                      7,                0.56522,                0.73001,                0.57245,                0.91352,                0.99657,                0.95536,                0.96514,                0.87981,                0.99657,                0.95536,                0.96543,                0.88092,                0.46745,                0.45446,                0.51842,                0.84554,              0.0018812,              0.0018812,              0.0018812
                      8,                0.54635,                0.72768,                0.56725,                0.90923,                0.97215,                0.93508,                0.94931,                0.80025,                0.97215,                0.93508,                0.94931,                0.83876,                0.55742,                0.59383,                0.61394,                  0.949,              0.0018614,              0.0018614,              0.0018614
                      9,                0.49167,                0.72854,                0.48804,                0.89979,                0.99947,                0.96429,                0.96548,                0.90894,                0.99947,                0.96429,                0.96548,                0.87521,                0.36807,                0.46277,                0.35994,                0.82947,              0.0018416,              0.0018416,              0.0018416
                     10,                0.50193,                0.67765,                 0.4775,                0.88758,                0.01967,                0.05357,                0.04546,                0.01209,                0.01311,                0.03571,                0.02665,                0.00733,                 2.9178,                 6.4185,                 3.9273,                 2.4286,              0.0018218,              0.0018218,              0.0018218
                     11,                0.48126,                0.66054,                0.45096,                 0.8826,                0.99949,                0.96429,                0.96636,                0.89956,                0.99949,                0.96429,                0.96636,                0.80717,                 0.3938,                0.64435,                0.34661,                0.82406,               0.001802,               0.001802,               0.001802
                     12,                0.46065,                0.63173,                0.42605,                0.87641,                      1,                 0.9621,                0.96861,                0.92707,                      1,                 0.9621,                0.96861,                0.78672,                0.34445,                0.75196,                0.33208,                0.82765,              0.0017822,              0.0017822,              0.0017822
                     13,                0.45764,                0.65094,                0.43071,                0.87973,                0.99947,                0.96429,                0.96669,                0.92491,                0.99947,                0.96429,                0.96747,                0.91431,                0.34391,                0.40127,                0.32311,                0.81095,              0.0017624,              0.0017624,              0.0017624
                     14,                0.44471,                0.63623,                0.42239,                0.88593,                      1,                0.96325,                0.97251,                0.94066,                      1,                0.96325,                0.97182,                0.88288,                 0.2965,                0.45321,                0.29083,                0.80664,              0.0017426,              0.0017426,              0.0017426
                     15,                 0.4478,                0.59323,                0.40886,                0.88006,                      1,                0.96383,                0.96705,                0.92676,                      1,                0.96383,                0.96705,                0.85609,                0.31668,                0.43992,                0.31714,                0.82376,              0.0017228,              0.0017228,              0.0017228
